area,perimeter,compactness,kernel_length,kernel_width,asymmetry_coef,kernel_groove_length,variety
15.2600,14.8400,0.8710,5.7630,3.3120,2.2210,5.2200,Kama
14.8800,14.5700,0.8811,5.5540,3.3330,1.0180,4.9560,Kama
14.2900,14.0900,0.9050,5.2910,3.3370,2.6990,4.8250,Kama
13.8400,13.9400,0.8955,5.3240,3.3790,2.2590,4.8050,Kama
16.1400,14.9900,0.9034,5.6580,3.5620,1.3550,5.1750,Kama
14.3800,14.2100,0.8951,5.3860,3.3120,2.4620,4.9560,Kama
14.6900,14.4900,0.8799,5.5630,3.2590,3.5860,5.2190,Kama
14.1100,14.1000,0.8911,5.4200,3.3020,2.7000,5.0000,Kama
16.6300,15.4600,0.8747,6.0530,3.4650,2.0400,5.8770,Kama
16.4400,15.2500,0.8880,5.8840,3.5050,1.9690,5.5330,Kama
15.2600,14.8500,0.8696,5.7140,3.2420,4.5430,5.3140,Kama
14.0300,14.1600,0.8796,5.4380,3.2010,1.7170,5.0010,Kama
13.8900,14.0200,0.8880,5.4390,3.1990,3.9860,4.7380,Kama
13.7800,14.0600,0.8759,5.4790,3.1560,3.1360,4.8720,Kama
13.7400,14.0500,0.8744,5.4820,3.1140,2.9320,4.8250,Kama
14.5900,14.2800,0.8993,5.3510,3.3330,4.1850,4.7810,Kama
13.9900,13.8300,0.9183,5.1190,3.3830,5.2340,4.7810,Kama
15.6900,14.7500,0.9058,5.5270,3.5140,1.5990,5.0460,Kama
14.7000,14.2100,0.9153,5.2050,3.4660,1.7670,4.6490,Kama
12.7200,13.5700,0.8686,5.2260,3.0490,4.1020,4.9140,Kama
14.1600,14.4000,0.8584,5.6580,3.1290,3.0720,5.1760,Kama
14.1100,14.2600,0.8722,5.5200,3.1680,2.6880,5.2190,Kama
15.8800,14.9000,0.8988,5.6180,3.5070,0.7651,5.0910,Kama
12.0800,13.2300,0.8664,5.0990,2.9360,1.4150,4.9610,Kama
15.0100,14.7600,0.8657,5.7890,3.2450,1.7910,5.0010,Kama
16.1900,15.1600,0.8849,5.8330,3.4210,0.9030,5.3070,Kama
13.0200,13.7600,0.8641,5.3950,3.0260,3.3730,4.8250,Kama
12.7400,13.6700,0.8564,5.3950,2.9560,2.5040,4.8690,Kama
14.1100,14.1800,0.8820,5.5410,3.2210,2.7540,5.0380,Kama
13.4500,14.0200,0.8604,5.5160,3.0650,3.5310,5.0970,Kama
13.1600,13.8200,0.8662,5.4540,2.9750,0.8551,5.0560,Kama
15.4900,14.9400,0.8724,5.7570,3.3710,3.4120,5.2280,Kama
14.0900,14.4100,0.8529,5.7170,3.1860,3.9200,5.2990,Kama
13.9400,14.1700,0.8728,5.5850,3.1500,2.1240,5.0120,Kama
15.0500,14.6800,0.8779,5.7120,3.3280,2.1290,5.3600,Kama
16.1200,15.0000,0.9000,5.7090,3.4850,2.2700,5.4430,Kama
16.2000,15.2700,0.8734,5.8260,3.4640,2.8230,5.5270,Kama
17.0800,15.3800,0.9079,5.8320,3.6830,2.9560,5.4840,Kama
14.8000,14.5200,0.8823,5.6560,3.2880,3.1120,5.3090,Kama
14.2800,14.1700,0.8944,5.3970,3.2980,6.6850,5.0010,Kama
13.5400,13.8500,0.8871,5.3480,3.1560,2.5870,5.1780,Kama
13.5000,13.8500,0.8852,5.3510,3.1580,2.2490,5.1760,Kama
13.1600,13.5500,0.9009,5.1380,3.2010,2.4610,4.7830,Kama
15.5000,14.8600,0.8820,5.8770,3.3960,4.7110,5.5280,Kama
15.1100,14.5400,0.8986,5.5790,3.4620,3.1280,5.1800,Kama
13.8000,14.0400,0.8794,5.3760,3.1550,1.5600,4.9610,Kama
15.3600,14.7600,0.8861,5.7010,3.3930,1.3670,5.1320,Kama
14.9900,14.5600,0.8883,5.5700,3.3770,2.9580,5.1750,Kama
14.7900,14.5200,0.8819,5.5450,3.2910,2.7040,5.1110,Kama
14.8600,14.6700,0.8676,5.6780,3.2580,2.1290,5.3510,Kama
14.4300,14.4000,0.8751,5.5850,3.2720,3.9750,5.1440,Kama
15.7800,14.9100,0.8923,5.6740,3.4340,5.5930,5.1360,Kama
14.4900,14.6100,0.8538,5.7150,3.1130,4.1160,5.3960,Kama
14.3300,14.2800,0.8831,5.5040,3.1990,3.3280,5.2240,Kama
14.5200,14.6000,0.8557,5.7410,3.1130,1.4810,5.4870,Kama
15.0300,14.7700,0.8658,5.7020,3.2120,1.9330,5.4390,Kama
14.4600,14.3500,0.8818,5.3880,3.3770,2.8020,5.0440,Kama
14.9200,14.4300,0.9006,5.3840,3.4120,1.1420,5.0880,Kama
15.3800,14.7700,0.8857,5.6620,3.4190,1.9990,5.2220,Kama
12.1100,13.4700,0.8392,5.1590,3.0320,1.5020,4.5190,Kama
11.4200,12.8600,0.8683,5.0080,2.8500,2.7000,4.6070,Kama
11.2300,12.6300,0.8840,4.9020,2.8790,2.2690,4.7030,Kama
12.3600,13.1900,0.8923,5.0760,3.0420,3.2200,4.6050,Kama
13.2200,13.8400,0.8680,5.3950,3.0700,4.1570,5.0880,Kama
12.7800,13.5700,0.8716,5.2620,3.0260,1.1760,4.7820,Kama
12.8800,13.5000,0.8879,5.1390,3.1190,2.3520,4.6070,Kama
14.3400,14.3700,0.8726,5.6300,3.1900,1.3130,5.1500,Kama
14.0100,14.2900,0.8625,5.6090,3.1580,2.2170,5.1320,Kama
14.3700,14.3900,0.8726,5.5690,3.1530,1.4640,5.3000,Kama
12.7300,13.7500,0.8458,5.4120,2.8820,3.5330,5.0670,Kama
17.6300,15.9800,0.8673,6.1910,3.5610,4.0760,6.0600,Rosa
16.8400,15.6700,0.8623,5.9980,3.4840,4.6750,5.8770,Rosa
17.2600,15.7300,0.8763,5.9780,3.5940,4.5390,5.7910,Rosa
19.1100,16.2600,0.9081,6.1540,3.9300,2.9360,6.0790,Rosa
16.8200,15.5100,0.8786,6.0170,3.4860,4.0040,5.8410,Rosa
16.7700,15.6200,0.8638,5.9270,3.4380,4.9200,5.7950,Rosa
17.3200,15.9100,0.8599,6.0640,3.4030,3.8240,5.9220,Rosa
20.7100,17.2300,0.8763,6.5790,3.8140,4.4510,6.4510,Rosa
18.9400,16.4900,0.8750,6.4450,3.6390,5.0640,6.3620,Rosa
17.1200,15.5500,0.8892,5.8500,3.5660,2.8580,5.7460,Rosa
16.5300,15.3400,0.8823,5.8750,3.4670,5.5320,5.8800,Rosa
18.7200,16.1900,0.8977,6.0060,3.8570,5.3240,5.8790,Rosa
20.2000,16.8900,0.8894,6.2850,3.8640,5.1730,6.1870,Rosa
19.5700,16.7400,0.8779,6.3840,3.7720,1.4720,6.2730,Rosa
19.5100,16.7100,0.8780,6.3660,3.8010,2.9620,6.1850,Rosa
18.2700,16.0900,0.8870,6.1730,3.6510,2.4430,6.1970,Rosa
18.8800,16.2600,0.8969,6.0840,3.7640,1.6490,6.1090,Rosa
18.9800,16.6600,0.8590,6.5490,3.6700,3.6910,6.4980,Rosa
21.1800,17.2100,0.8989,6.5730,4.0330,5.7800,6.2310,Rosa
20.8800,17.0500,0.9031,6.4500,4.0320,5.0160,6.3210,Rosa
20.1000,16.9900,0.8746,6.5810,3.7850,1.9550,6.4490,Rosa
18.7600,16.2000,0.8984,6.1720,3.7960,3.1200,6.0530,Rosa
18.8100,16.2900,0.8906,6.2720,3.6930,3.2370,6.0530,Rosa
18.5900,16.0500,0.9066,6.0370,3.8600,6.0010,5.8770,Rosa
18.3600,16.5200,0.8452,6.6660,3.4850,4.9330,6.4480,Rosa
16.8700,15.6500,0.8648,6.1390,3.4630,3.6960,5.9670,Rosa
19.3100,16.5900,0.8815,6.3410,3.8100,3.4770,6.2380,Rosa
18.9800,16.5700,0.8687,6.4490,3.5520,2.1440,6.4530,Rosa
18.1700,16.2600,0.8637,6.2710,3.5120,2.8530,6.2730,Rosa
18.7200,16.3400,0.8810,6.2190,3.6840,2.1880,6.0970,Rosa
16.4100,15.2500,0.8866,5.7180,3.5250,4.2170,5.6180,Rosa
17.9900,15.8600,0.8992,5.8900,3.6940,2.0680,5.8370,Rosa
19.4600,16.5000,0.8985,6.1130,3.8920,4.3080,6.0090,Rosa
19.1800,16.6300,0.8717,6.3690,3.6810,3.3570,6.2290,Rosa
18.9500,16.4200,0.8829,6.2480,3.7550,3.3680,6.1480,Rosa
18.8300,16.2900,0.8917,6.0370,3.7860,2.5530,5.8790,Rosa
18.8500,16.1700,0.9056,6.1520,3.8060,2.8430,6.2000,Rosa
17.6300,15.8600,0.8800,6.0330,3.5730,3.7470,5.9290,Rosa
19.9400,16.9200,0.8752,6.6750,3.7630,3.2520,6.5500,Rosa
18.5500,16.2200,0.8865,6.1530,3.6740,1.7380,5.8940,Rosa
18.4500,16.1200,0.8921,6.1070,3.7690,2.2350,5.7940,Rosa
19.3800,16.7200,0.8716,6.3030,3.7910,3.6780,5.9650,Rosa
19.1300,16.3100,0.9035,6.1830,3.9020,2.1090,5.9240,Rosa
19.1400,16.6100,0.8722,6.2590,3.7370,6.6820,6.0530,Rosa
20.9700,17.2500,0.8859,6.5630,3.9910,4.6770,6.3160,Rosa
19.0600,16.4500,0.8854,6.4160,3.7190,2.2480,6.1630,Rosa
18.9600,16.2000,0.9077,6.0510,3.8970,4.3340,5.7500,Rosa
19.1500,16.4500,0.8890,6.2450,3.8150,3.0840,6.1850,Rosa
18.8900,16.2300,0.9008,6.2270,3.7690,3.6390,5.9660,Rosa
20.0300,16.9000,0.8811,6.4930,3.8570,3.0630,6.3200,Rosa
20.2400,16.9100,0.8897,6.3150,3.9620,5.9010,6.1880,Rosa
18.1400,16.1200,0.8772,6.0590,3.5630,3.6190,6.0110,Rosa
16.1700,15.3800,0.8588,5.7620,3.3870,4.2860,5.7030,Rosa
18.4300,15.9700,0.9077,5.9800,3.7710,2.9840,5.9050,Rosa
15.9900,14.8900,0.9064,5.3630,3.5820,3.3360,5.1440,Rosa
18.7500,16.1800,0.8999,6.1110,3.8690,4.1880,5.9920,Rosa
18.6500,16.4100,0.8698,6.2850,3.5940,4.3910,6.1020,Rosa
17.9800,15.8500,0.8993,5.9790,3.6870,2.2570,5.9190,Rosa
20.1600,17.0300,0.8735,6.5130,3.7730,1.9100,6.1850,Rosa
17.5500,15.6600,0.8991,5.7910,3.6900,5.3660,5.6610,Rosa
18.3000,15.8900,0.9108,5.9790,3.7550,2.8370,5.9620,Rosa
18.9400,16.3200,0.8942,6.1440,3.8250,2.9080,5.9490,Rosa
15.3800,14.9000,0.8706,5.8840,3.2680,4.4620,5.7950,Rosa
16.1600,15.3300,0.8644,5.8450,3.3950,4.2660,5.7950,Rosa
15.5600,14.8900,0.8823,5.7760,3.4080,4.9720,5.8470,Rosa
15.3800,14.6600,0.8990,5.4770,3.4650,3.6000,5.4390,Rosa
17.3600,15.7600,0.8785,6.1450,3.5740,3.5260,5.9710,Rosa
15.5700,15.1500,0.8527,5.9200,3.2310,2.6400,5.8790,Rosa
15.6000,15.1100,0.8580,5.8320,3.2860,2.7250,5.7520,Rosa
16.2300,15.1800,0.8850,5.8720,3.4720,3.7690,5.9220,Rosa
13.0700,13.9200,0.8480,5.4720,2.9940,5.3040,5.3950,Canadian
13.3200,13.9400,0.8613,5.5410,3.0730,7.0350,5.4400,Canadian
13.3400,13.9500,0.8620,5.3890,3.0740,5.9950,5.3070,Canadian
12.2200,13.3200,0.8652,5.2240,2.9670,5.4690,5.2210,Canadian
11.8200,13.4000,0.8274,5.3140,2.7770,4.4710,5.1780,Canadian
11.2100,13.1300,0.8167,5.2790,2.6870,6.1690,5.2750,Canadian
11.4300,13.1300,0.8335,5.1760,2.7190,2.2210,5.1320,Canadian
12.4900,13.4600,0.8658,5.2670,2.9670,4.4210,5.0020,Canadian
12.7000,13.7100,0.8491,5.3860,2.9110,3.2600,5.3160,Canadian
10.7900,12.9300,0.8107,5.3170,2.6480,5.4620,5.1940,Canadian
11.8300,13.2300,0.8496,5.2630,2.8400,5.1950,5.3070,Canadian
12.0100,13.5200,0.8249,5.4050,2.7760,6.9920,5.2700,Canadian
12.2600,13.6000,0.8333,5.4080,2.8330,4.7560,5.3600,Canadian
11.1800,13.0400,0.8266,5.2200,2.6930,3.3320,5.0010,Canadian
11.3600,13.0500,0.8382,5.1750,2.7550,4.0480,5.2630,Canadian
11.1900,13.0500,0.8253,5.2500,2.6750,5.8130,5.2190,Canadian
11.3400,12.8700,0.8596,5.0530,2.8490,3.3470,5.0030,Canadian
12.1300,13.7300,0.8081,5.3940,2.7450,4.8250,5.2200,Canadian
11.7500,13.5200,0.8082,5.4440,2.6780,4.3780,5.3100,Canadian
11.4900,13.2200,0.8263,5.3040,2.6950,5.3880,5.3100,Canadian
12.5400,13.6700,0.8425,5.4510,2.8790,3.0820,5.4910,Canadian
12.0200,13.3300,0.8503,5.3500,2.8100,4.2710,5.3080,Canadian
12.0500,13.4100,0.8416,5.2670,2.8470,4.9880,5.0460,Canadian
12.5500,13.5700,0.8558,5.3330,2.9680,4.4190,5.1760,Canadian
11.1400,12.7900,0.8558,5.0110,2.7940,6.3880,5.0490,Canadian
12.1000,13.1500,0.8793,5.1050,2.9410,2.2010,5.0560,Canadian
12.4400,13.5900,0.8462,5.3190,2.8970,4.9240,5.2700,Canadian
12.1500,13.4500,0.8443,5.4170,2.8370,3.6380,5.3380,Canadian
11.3500,13.1200,0.8291,5.1760,2.6680,4.3370,5.1320,Canadian
11.2400,13.0000,0.8359,5.0900,2.7150,3.5210,5.0880,Canadian
11.0200,13.0000,0.8189,5.3250,2.7010,6.7350,5.1630,Canadian
11.5500,13.1000,0.8455,5.1670,2.8450,6.7150,4.9560,Canadian
11.2700,12.9700,0.8419,5.0880,2.7630,4.3090,5.0000,Canadian
11.4000,13.0800,0.8375,5.1360,2.7630,5.5880,5.0890,Canadian
10.8300,12.9600,0.8099,5.2780,2.6410,5.1820,5.1850,Canadian
10.8000,12.5700,0.8590,4.9810,2.8210,4.7730,5.0630,Canadian
11.2600,13.0100,0.8355,5.1860,2.7100,5.3350,5.0920,Canadian
10.7400,12.7300,0.8329,5.1450,2.6420,4.7020,4.9630,Canadian
11.4800,13.0500,0.8473,5.1800,2.7580,5.8760,5.0020,Canadian
12.2100,13.4700,0.8453,5.3570,2.8930,1.6610,5.1780,Canadian
11.4100,12.9500,0.8560,5.0900,2.7750,4.9570,4.8250,Canadian
12.4600,13.4100,0.8706,5.2360,3.0170,4.9870,5.1470,Canadian
12.1900,13.3600,0.8579,5.2400,2.9090,4.8570,5.1580,Canadian
11.6500,13.0700,0.8575,5.1080,2.8500,5.2090,5.1350,Canadian
12.8900,13.7700,0.8541,5.4950,3.0260,6.1850,5.3160,Canadian
11.5600,13.3100,0.8198,5.3630,2.6830,4.0620,5.1820,Canadian
11.8100,13.4500,0.8198,5.4130,2.7160,4.8980,5.3520,Canadian
10.9100,12.8000,0.8372,5.0880,2.6750,4.1790,4.9560,Canadian
11.2300,12.8200,0.8594,5.0890,2.8210,7.5240,4.9570,Canadian
10.5900,12.4100,0.8648,4.8990,2.7870,4.9750,4.7940,Canadian
10.9300,12.8000,0.8390,5.0460,2.7170,5.3980,5.0450,Canadian
11.2700,12.8600,0.8563,5.0910,2.8040,3.9850,5.0010,Canadian
11.8700,13.0200,0.8795,5.1320,2.9530,3.5970,5.1320,Canadian
10.8200,12.8300,0.8256,5.1800,2.6300,4.8530,5.0890,Canadian
12.1100,13.2700,0.8639,5.2360,2.9750,4.1320,5.0120,Canadian
12.8000,13.4700,0.8860,5.1600,3.1260,4.8730,4.9140,Canadian
12.7900,13.5300,0.8786,5.2240,3.0540,5.4830,4.9580,Canadian
13.3700,13.7800,0.8849,5.3200,3.1280,4.6700,5.0910,Canadian
12.6200,13.6700,0.8481,5.4100,2.9110,3.3060,5.2310,Canadian
12.7600,13.3800,0.8964,5.0730,3.1550,2.8280,4.8300,Canadian
12.3800,13.4400,0.8609,5.2190,2.9890,5.4720,5.0450,Canadian
12.6700,13.3200,0.8977,4.9840,3.1350,2.3000,4.7450,Canadian
11.1800,12.7200,0.8680,5.0090,2.8100,4.0510,4.8280,Canadian
12.7000,13.4100,0.8874,5.1830,3.0910,8.4560,5.0000,Canadian
12.3700,13.4700,0.8567,5.2040,2.9600,3.9190,5.0010,Canadian
12.1900,13.2000,0.8783,5.1370,2.9810,3.6310,4.8700,Canadian
11.2300,12.8800,0.8511,5.1400,2.7950,4.3250,5.0030,Canadian
13.2000,13.6600,0.8883,5.2360,3.2320,8.3150,5.0560,Canadian
11.8400,13.2100,0.8521,5.1750,2.8360,3.5980,5.0440,Canadian
12.3000,13.3400,0.8684,5.2430,2.9740,5.6370,5.0630,Canadian
